,name,type,tushare,yahoo_finance,investing.com,nanhua
0,上证指数,index,000001.sh,000001.ss,shanghai-composite,
1,深证成份指数,index,399001.sz,399001.sz,szse-component,
2,红利低波指数,index,H20269.CSI,,,
3,富时中国A50指数,index,XIN9,XIN9.FGI,ftse-china-a50,
4,道琼斯上海指数,index,,^DJSH,dj-shanghai,
5,香港恒生指数,index,HSI,^HSI,hang-sen-40,
6,道琼斯工业平均指数,index,DJI,^DJI,us-30,
7,美国标准普尔500指数,index,SPX,^SPX,us-spx-500,
8,纳斯达克综合指数,index,IXIC,^IXIC,nasdaq-composite,
9,罗素2000小盘股,index,RUT,RTY=F,smallcap-2000-futures,
10,CBOE波动率,index,,^VIX,volatility-s-p-500,
11,加拿大多伦多S&P/TSX,index,SPTSX,^GSPTSE,s-p-tsx-composite,
12,巴西IBOVESPA,index,IBOVESPA,^BVSP,ibovespa-usd,
13,墨西哥S&P/BMV IPC,index,,^MXX,ipc,
14,MSCI全球指数(仅发达市场),index,,^990100-USD-STRD,msci-world,
15,英国富时100,index,FTSE,^FTSE,uk-100,
16,法国CAC40,index,FCHI,^FCHI,france-40,
17,欧洲斯托克50,index,CSX5P,^STOXX50E,eu-stoxx50,
18,荷兰AEX,index,,^AEX,netherlands-25,
19,西班牙IBEX35,index,,^IBEX,spain-35,
20,意大利富时MIB,index,,FTSEMIB.MI,italy-40-futures,
21,瑞士SWI20,index,,^SSMI,switzerland-20,
22,PSI,index,,PSI20.LS,psi-20,
24,奥地利ATX,index,,^ATX,atx,
25,瑞典OMX30,index,,^OMX,omx-stockholm-30,
27,恒生科技指数,index,HKTECH,HSTECH.HK,hang-seng-tech,
30,土耳其ISE National-100,index,,XU100.IS,ise-100,
31,以色列TA35,index,,TA35.TA,ta25,
32,沙特TASI,index,,^TASI.SR,tasi,
33,日经225,index,N225,^N225,japan-ni225,
34,澳大利亚S&P/ASX200,index,AS51,^AXJO,aus-200,
35,台湾加权指数,index,TWII,^TWII,taiwan-weighted,
36,泰国SET,index,,^SET.BK,thailand-set,
37,韩国KOSPI,index,KS11,^KS11,kospi,
38,印尼综合指数,index,,^JKSE,idx-composite,
39,印度S&P CNX NIFTY,index,,^NSEI,s-p-cnx-nifty,
40,印度BSE SENSEX,index,SENSEX,^BSESN,sensex,
41,越南VN30,index,,,vn-30,
42,德国DAX30指数,index,GDAXI,^GDAXI,germany-30,
43,美国30年期T-Bond,bond,us_tycr,^TYX,u.s.-30-year-bond-yield,
44,美国2年期T-Note,bond,,2YY=F,u.s.-2-year-bond-yield,
45,美国5年期T-Note,bond,,^FVX,u.s.-5-year-bond-yield,
46,美国10年期T-Note,bond,,^TNX,u.s.-10-year-bond-yield,
47,中国十年期国债收益率,bond,yc_cb,,china-10-year-bond-yield,
48,中国五年期国债收益率,bond,,,china-5-year-bond-yield,
49,中国2年期国债收益率,bond,,,china-2-year-bond-yield,
50,中国三十年期国债收益率,bond,,,china-30-year-bond-yield,
51,长期欧元债券,bond,,,euro-bund,
52,中期欧元债券,bond,,,euro-bobl,
53,短期欧元债券,bond,,,euro-schatz,
54,超长期欧元债券,bond,,,euro-buxl,
